Date;cpi
sept-20;1,4
oct-20;1,6
nov-20;1,7
déc-20;1,6
janv-21;1,6
févr-21;1,6
mars-21;2
avr-21;2,1
mai-21;2,5
juin-21;2,5
juil-21;2,7
août-21;2,9
sept-21;3,1
oct-21;3
nov-21;3,1
déc-21;3,2
janv-22;3,7
févr-22;4,1
mars-22;4,5
avr-22;4,9
mai-22;5,4
juin-22;5,6
juil-22;5,8
août-22;5,8
sept-22;5,9
oct-22;5,9
nov-22;6,2
déc-22;6,1
janv-23;6,1
févr-23;6
mars-23;5,7
avr-23;5,6
mai-23;5,2
juin-23;5,1
juil-23;4,8
août-23;4,8
sept-23;4,4
oct-23;4,2
nov-23;3,9
déc-23;3,9
